,datasets,acc
0,ArticularyWordRecognition,1.0
1,BasicMotions,1.0
2,Cricket,1.0
3,DuckDuckGeese,0.28
4,Epilepsy,0.7956204379562044
5,ERing,1.0
6,EthanolConcentration,0.685823754789272
7,FaceDetection,0.999830220713073
8,FingerMovements,0.9778481012658228
9,HandMovementDirection,0.94375
10,Handwriting,1.0
11,Heartbeat,0.9901960784313726
12,Libras,0.5333333333333333
13,LSST,0.6026840178934526
14,NATOPS,0.9944444444444445
15,PEMS-SF,1.0
16,PenDigits,0.9981318388043768
17,PhonemeSpectra,0.9079939668174962
18,RacketSports,0.8940397350993378
19,SelfRegulationSCP1,0.9664179104477612
20,SelfRegulationSCP2,0.945
21,StandWalkJump,0.75
22,UWaveGestureLibrary,1.0
